Client_fName,Client_lName,C_phoneNum,email,C_street_address,C_city,C_zipcode,creditCardNum,cardExpiration,cardCode,Employee_fName,Employee_lName,E_phoneNum,E_street_address,E_city,E_zipcode,HairColor,NextAppointment_Month,NextAppointment_Day
Megan,Fitzgerald,7036958787,garciagregory@hotmail.com,68281 Gillespie Junctions,Jeremybury,65745,676182572872,05/22,789,Sarah,Wilkinson,463-807-5626,754 Chavez Light,Josephside,50485,OliveDrab,02,23
George,Webb,262.911.2800x3708,michael91@carter-mcgrath.com,329 Allen Roads Suite 702,East Susan,38633,180008987870008,04/26,211,Pamela,Lee,001-406-319-7447x18613,5626 Santos Skyway Suite 006,West Jacqueline,08475,Moccasin,08,07
Michael,Oliver,159.465.7946,ryanjessica@hotmail.com,66880 Adams Estate,New Randallmouth,61465,4769639446283272821,09/25,142,Thomas,Higgins,001-321-101-2521x1629,69725 Katherine Drive Suite 961,Lake James,23364,Navy,09,13
Jenny,Smith,8894535213,foxrichard@yahoo.com,0074 Spencer Glens Apt. 087,Contrerashaven,70432,3505661927924244,01/27,342,Kelly,Fuller,038.345.4788x6362,39464 Mathews Row Suite 056,North Claytontown,14771,IndianRed,07,15
Ruben,Ramos,397-587-7332x40487,christophermoore@hotmail.com,73320 Bond Drive Apt. 383,South Gavinton,25799,3546471043366259,02/25,066,Angela,Erickson,637-282-5647x49160,181 Amy Alley Suite 657,Ramosland,25205,Purple,04,06
Jesus,Smith,001-794-460-9472x03718,bennettbenjamin@gmail.com,52744 Trevor Plains Suite 642,Claytonville,27047,3569748537916703,09/21,071,Matthew,Wilson,504.340.7147x602,36094 Natalie Mount Suite 714,Shaffermouth,94760,MediumSlateBlue,09,27
Brian,Bailey,001-243-448-0250,eric39@yahoo.com,5168 Joshua Street,South Alexandra,51702,6011779692325932,10/24,894,Lori,Ponce,+1-819-429-5047,44266 Melissa Roads Suite 793,Patriciafurt,26567,Sienna,12,22
Miranda,Miller,(420)619-5285,vargasmichael@santiago-bradley.net,8462 Santos Lake,East Audreymouth,85115,3594050222038052,06/21,790,Brian,Hensley,+1-785-880-8290x99713,70055 Maddox Crescent,Valenciabury,10227,Turquoise,08,16
Jennifer,Newman,482.231.2118,vanessa94@gmail.com,725 Lisa Burgs,South Ericchester,19414,378513037370216,04/29,717,Erica,Lee,325.025.1442x067,575 Daniels Inlet Suite 758,New Alex,62720,DeepSkyBlue,06,23
Howard,Daugherty,(588)459-6793x224,warneroscar@gmail.com,9536 George Inlet,West Brendanton,31399,4475148240039,06/24,205,Larry,Erickson,(838)563-7414x685,0821 Sergio Way,New Kristin,98906,MistyRose,11,12
Linda,Moore,762-811-7853x5107,wilsondouglas@thomas.info,465 Gonzalez Common Suite 823,South Catherine,39334,4835683473434898,11/25,054,Ashley,Cook,+1-886-402-1870,880 Nicholas Crossroad Suite 908,Jennifershire,74022,Linen,09,05
